                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2755,                 1.8373,                0.91329,                0.96504,                0.95381,                 0.9803,                0.77893,                0.73429,                0.48995,                0.81179,               0.070714,               0.003254,               0.003254
                      1,                 1.1213,                0.72841,                0.84787,                0.96387,                0.97429,                0.99068,                0.73884,                0.93424,                0.77432,                0.81235,               0.040584,              0.0064569,              0.0064569
                      2,                 1.3311,                0.81335,                0.87045,                0.96278,                 0.9615,                0.97876,                0.63233,                 1.1872,                0.96179,                0.84985,               0.010321,              0.0095278,              0.0095278
                      3,                  1.258,                0.74779,                0.87582,                 0.9637,                0.96965,                0.97856,                0.66627,                 1.0844,                0.62343,                0.84231,               0.009406,               0.009406,               0.009406
                      4,                 1.2425,                0.64327,                0.88198,                0.94781,                0.96803,                0.96719,                0.55771,                 1.1971,                0.59373,                0.85676,               0.009406,               0.009406,               0.009406
                      5,                 1.1472,                0.59085,                 0.8681,                0.95816,                0.95656,                0.97724,                0.69577,                 0.9985,                0.49755,                0.85122,               0.009208,               0.009208,               0.009208
                      6,                 1.0761,                 0.5444,                 0.8715,                0.96939,                0.96917,                0.98676,                0.71974,                0.93277,                0.49265,                0.84137,                0.00901,                0.00901,                0.00901
                      7,                 1.0497,                0.50241,                0.86119,                0.95644,                0.97631,                0.99085,                0.75732,                0.84214,                0.49782,                0.82423,               0.008812,               0.008812,               0.008812
                      8,                 1.0109,                0.48621,                0.84489,                 0.9552,                0.96825,                0.97803,                0.75731,                0.81128,                0.43858,                0.82565,               0.008614,               0.008614,               0.008614
                      9,                0.93019,                0.46792,                0.84237,                0.97234,                0.94768,                0.98025,                0.74779,                0.88953,                0.43024,                0.83628,               0.008416,               0.008416,               0.008416
                     10,                0.92381,                0.46513,                  0.842,                0.96344,                0.96257,                0.97931,                0.73542,                0.80443,                0.42831,                0.82845,               0.008218,               0.008218,               0.008218
                     11,                0.90022,                0.43324,                 0.8425,                0.95556,                0.97643,                0.98496,                0.76926,                0.85713,                0.40394,                0.82619,                0.00802,                0.00802,                0.00802
                     12,                0.88939,                0.42823,                0.83315,                0.96843,                0.97137,                0.98392,                0.74848,                0.89425,                 0.4123,                0.83552,               0.007822,               0.007822,               0.007822
                     13,                0.85397,                0.42703,                0.82853,                0.96754,                0.97113,                0.98276,                0.75932,                0.86496,                0.40599,                0.82735,               0.007624,               0.007624,               0.007624
                     14,                0.86965,                0.42509,                0.83008,                0.97572,                 0.9773,                0.99194,                0.82999,                0.64988,                0.38352,                0.80662,               0.007426,               0.007426,               0.007426
                     15,                0.83928,                0.42357,                0.82551,                0.97039,                0.97236,                0.98993,                0.81635,                0.76189,                0.43111,                0.80992,               0.007228,               0.007228,               0.007228
                     16,                0.80809,                0.42474,                0.82094,                0.97149,                0.96841,                0.99037,                0.85153,                0.58854,                0.37806,                0.80309,                0.00703,                0.00703,                0.00703
                     17,                0.79187,                0.42648,                0.81823,                0.96367,                0.96878,                0.98555,                0.81764,                0.69914,                0.39154,                0.81139,               0.006832,               0.006832,               0.006832
                     18,                 0.7711,                0.41853,                 0.8138,                 0.9703,                0.96752,                0.98999,                0.85505,                0.61121,                0.37628,                0.79907,               0.006634,               0.006634,               0.006634
                     19,                0.77728,                0.41277,                0.81323,                0.97995,                0.96504,                0.99049,                 0.8322,                0.65043,                0.39384,                0.80044,               0.006436,               0.006436,               0.006436
                     20,                0.79968,                0.41209,                0.82139,                0.97052,                0.97335,                0.98775,                0.82794,                0.66016,                0.38259,                0.80614,               0.006238,               0.006238,               0.006238
                     21,                0.74167,                0.39868,                0.81165,                0.96352,                0.96461,                0.98459,                0.83558,                0.65008,                0.37283,                0.80146,                0.00604,                0.00604,                0.00604
                     22,                0.74514,                0.39735,                0.81446,                0.97229,                0.96841,                0.98534,                0.85174,                0.60888,                0.37082,                0.80278,               0.005842,               0.005842,               0.005842
                     23,                0.74149,                0.39049,                0.80988,                0.96621,                0.97631,                0.99003,                0.86177,                0.53203,                0.34549,                0.79752,               0.005644,               0.005644,               0.005644
                     24,                0.72431,                0.38309,                0.82548,                0.96186,                0.97137,                0.98328,                0.84739,                0.58663,                0.36287,                0.79927,               0.005446,               0.005446,               0.005446
                     25,                0.71278,                0.38202,                0.80407,                0.96943,                0.97037,                  0.988,                0.85058,                0.55869,                 0.3477,                0.79673,               0.005248,               0.005248,               0.005248
                     26,                0.69964,                0.38317,                0.81044,                0.96946,                0.97137,                0.98631,                0.84426,                0.60063,                 0.3488,                0.79953,                0.00505,                0.00505,                0.00505
                     27,                0.69613,                0.37088,                0.81197,                0.96349,                0.96379,                 0.9833,                0.82631,                0.66199,                0.35844,                0.80496,               0.004852,               0.004852,               0.004852
                     28,                0.69837,                0.36874,                0.80724,                0.97171,                0.97038,                0.98854,                0.84128,                0.63828,                0.34922,                0.79872,               0.004654,               0.004654,               0.004654
                     29,                0.67552,                0.36218,                0.80158,                0.98336,                0.97038,                0.98732,                 0.8666,                 0.5535,                0.33279,                0.79455,               0.004456,               0.004456,               0.004456
                     30,                0.67716,                0.36787,                0.80342,                0.96454,                0.97631,                0.98917,                0.84844,                0.61282,                0.34125,                0.79926,               0.004258,               0.004258,               0.004258
                     31,                0.67365,                0.35673,                 0.8078,                0.96442,                0.96327,                0.98665,                0.84363,                0.64421,                0.34956,                 0.8017,                0.00406,                0.00406,                0.00406
                     32,                 0.6612,                0.36146,                0.80567,                0.97398,                0.97631,                0.98695,                0.85135,                0.53922,                0.32715,                0.79343,               0.003862,               0.003862,               0.003862
                     33,                0.66032,                0.35279,                0.79997,                0.97522,                 0.9773,                0.98964,                0.86002,                0.49921,                0.30646,                0.79253,               0.003664,               0.003664,               0.003664
                     34,                0.63636,                0.34307,                 0.7977,                0.96899,                0.97927,                 0.9899,                0.85919,                0.56944,                0.32883,                0.79443,               0.003466,               0.003466,               0.003466
                     35,                0.64079,                0.34767,                0.80255,                 0.9771,                0.96887,                0.98897,                0.87149,                0.51719,                 0.3217,                0.79324,               0.003268,               0.003268,               0.003268
                     36,                0.61398,                  0.334,                 0.8006,                0.97009,                0.97433,                0.98943,                0.87743,                0.51065,                0.30902,                0.79345,                0.00307,                0.00307,                0.00307
                     37,                0.61019,                 0.3307,                0.80009,                0.96956,                0.97532,                0.98726,                0.88206,                0.50168,                0.30229,                0.79242,               0.002872,               0.002872,               0.002872
                     38,                0.57456,                0.32121,                0.79679,                0.96956,                0.98322,                0.99114,                0.88263,                0.49002,                0.29631,                0.78996,               0.002674,               0.002674,               0.002674
                     39,                0.58482,                0.31837,                0.79939,                0.96853,                0.97532,                0.98899,                0.88713,                0.49041,                0.29594,                0.79168,               0.002476,               0.002476,               0.002476
                     40,                0.54258,                0.31059,                0.80188,                0.97099,                0.97038,                0.98763,                0.88273,                0.48835,                 0.2908,                0.79222,               0.002278,               0.002278,               0.002278
                     41,                0.50518,                0.29301,                0.79651,                0.97335,                0.97352,                 0.9869,                0.87692,                0.47853,                0.28345,                0.79086,                0.00208,                0.00208,                0.00208
                     42,                0.51838,                0.29518,                0.79279,                0.97435,                0.97514,                0.98909,                0.88397,                0.46922,                0.27902,                0.78932,               0.001882,               0.001882,               0.001882
                     43,                0.50328,                0.28471,                0.79489,                0.96957,                0.97494,                0.98753,                0.88878,                0.46383,                0.27889,                 0.7882,               0.001684,               0.001684,               0.001684
                     44,                 0.5019,                0.28256,                0.79524,                0.97515,                0.97433,                0.98818,                 0.8952,                0.45305,                0.27169,                0.78794,               0.001486,               0.001486,               0.001486
                     45,                0.49628,                0.27946,                0.80012,                0.97241,                0.97425,                0.98862,                0.89695,                0.44987,                  0.266,                 0.7884,               0.001288,               0.001288,               0.001288
                     46,                0.49144,                0.27445,                0.79976,                0.97073,                 0.9773,                0.98877,                0.89907,                0.45282,                0.26454,                 0.7883,                0.00109,                0.00109,                0.00109
                     47,                0.46838,                0.26581,                0.79272,                 0.9702,                0.97236,                0.98954,                0.89942,                0.44425,                0.26138,                0.78822,               0.000892,               0.000892,               0.000892
                     48,                0.48195,                0.27161,                0.79109,                0.96949,                0.97532,                0.98995,                0.90017,                0.43936,                0.25776,                0.78619,               0.000694,               0.000694,               0.000694
                     49,                0.47453,                0.26177,                0.79212,                0.96754,                0.97433,                0.98855,                0.90467,                0.43319,                0.25179,                0.78595,               0.000496,               0.000496,               0.000496
